category,marque,description1,description2,prix,image
dentifrice,SIGNAL,50ML, ,"2,590",https://www.geantdrive.tn/tunis-city/1190878-home_default/dentifrice.jpg
dentifrice,SIGNAL,50ML, ,"2,590",https://www.geantdrive.tn/tunis-city/1144997-home_default/dentifrice.jpg
dentifrice,COLGATE,75ML, ,"3,050",https://www.geantdrive.tn/tunis-city/1247474-home_default/dentifrice.jpg
dentifrice,COLGATE,75ML, ,"3,050",https://www.geantdrive.tn/tunis-city/1247463-home_default/dentifrice.jpg
dentifrice,COLGATE,75GR Miswak, ,"3,050",https://www.geantdrive.tn/tunis-city/1160438-home_default/dentifrice.jpg
dentifrice,SIGNAL,75ML, ,"3,350",https://www.geantdrive.tn/tunis-city/1222038-home_default/dentifrice.jpg
dentifrice,SIGNAL,75ML, ,"3,350",https://www.geantdrive.tn/tunis-city/1222036-home_default/dentifrice.jpg
dentifrice,SIGNAL,75ML Herbal meswek, ,"3,390",https://www.geantdrive.tn/tunis-city/1265992-home_default/dentifrice.jpg
dentifrice,CLOSE UP,75ML Menthol fresh, ,"3,150",https://www.geantdrive.tn/tunis-city/1184426-home_default/dentifrice.jpg
dentifrice,CLOSE UP,75ML Red hot, ,"3,150",https://www.geantdrive.tn/tunis-city/1184422-home_default/dentifrice.jpg
dentifrice,SIGADENT,50ML Fraise, ,"2,850",https://www.geantdrive.tn/tunis-city/950728-home_default/dentifrice-enfant.jpg
dentifrice,SIGADENT,50ML Chewing-gum, ,"2,850",https://www.geantdrive.tn/tunis-city/950729-home_default/dentifrice-enfant.jpg
dentifrice,SIGNAL,50ML, ,"3,690",https://www.geantdrive.tn/tunis-city/1245763-home_default/dentifrice.jpg
dentifrice,COLGATE,100ML Herbal original, ,"3,690",https://www.geantdrive.tn/tunis-city/950715-home_default/dentifrice.jpg
dentifrice,COLGATE,75ML Xtra fresh Triple..., ,"3,500",https://www.geantdrive.tn/tunis-city/1287963-home_default/dentifrice.jpg
dentifrice,COLGATE,100ML Herbal blancheur, ,"3,500",https://www.geantdrive.tn/tunis-city/974173-home_default/dentifrice.jpg
dentifrice,COLGATE,75ML Xtra white Triple..., ,"3,500",https://www.geantdrive.tn/tunis-city/1287962-home_default/dentifrice.jpg
dentifrice,COLGATE,50ML Smiles batman, ,"3,800",https://www.geantdrive.tn/tunis-city/1148475-home_default/dentifrice-pour-enfant.jpg
dentifrice,COLGATE,50ML, ,"3,800",https://www.geantdrive.tn/tunis-city/1209288-home_default/dentifrice-pour-enfant.jpg
dentifrice,COLGATE,50ML Minions, ,"4,100",https://www.geantdrive.tn/tunis-city/1143120-home_default/dentifrice-pour-enfant.jpg
dentifrice,SIGNAL,120ML Cavity fighter, ,"3,490",https://www.geantdrive.tn/tunis-city/1294132-home_default/dentifrice.jpg
dentifrice,SIGNAL,120ML, ,"4,150",https://www.geantdrive.tn/tunis-city/1192636-home_default/dentifrice.jpg
dentifrice,SIGNAL,120ML, ,"4,150",https://www.geantdrive.tn/tunis-city/1191780-home_default/dentifrice.jpg
dentifrice,SIGNAL,75ML Système blancheur, ,"4,150",https://www.geantdrive.tn/tunis-city/1156024-home_default/dentifrice.jpg
dentifrice,AQUAFRESH,50ML 2-5ans, ,"5,390",https://www.geantdrive.tn/tunis-city/1241611-home_default/dentifrice-pour-enfant.jpg
dentifrice,COLGATE,75ML, ,"3,900",https://www.geantdrive.tn/tunis-city/1187097-home_default/dentifrice.jpg
dentifrice,COLGATE,75ML, ,"3,900",https://www.geantdrive.tn/tunis-city/1186569-home_default/dentifrice.jpg
dentifrice,COLGATE,75ML, ,"3,900",https://www.geantdrive.tn/tunis-city/1181688-home_default/dentifrice.jpg
dentifrice,COLGATE,75ML Max fresh givre, ,"3,900",https://www.geantdrive.tn/tunis-city/1150959-home_default/dentifrice.jpg
dentifrice,COLGATE,75ML Epicée, ,"3,900",https://www.geantdrive.tn/tunis-city/1150964-home_default/dentifrice.jpg
dentifrice,COLGATE,75ML Menthe fresh, ,"3,900",https://www.geantdrive.tn/tunis-city/1150962-home_default/dentifrice.jpg
dentifrice,COLGATE,75ML Maxfresh /Bamboo..., ,"3,900",https://www.geantdrive.tn/tunis-city/930019-home_default/dentifrice.jpg
